; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto
filter- effects-1; No; No; No; No; No; No; flood-opacity
filter- effects-1; No; No; No; No; No; No; color-interpolation-filters
filter- effects-1; No; No; No; No; No; No; lighting-color
Pointer events; Pointer events; Pointer events; Pointer events; Pointer events; Pointer events; Pointer events; Pointer events
SVG1.1 and earlier draft of css3-ui; pointer-events; 11.0; 12.0; 1.9.2; 530; No; 2.0
pointer- events; touch-action; 11.0; 12.0; 29.0[ g 55]; No; No; No
Line Grid; Line Grid; Line Grid; Line Grid; Line Grid; Line Grid; Line Grid; Line Grid
css-line- grid-1; 
css-line- grid-1; box-snap; No; No; No; No; No; 
css-line- grid-1; No; No; No; No; No; No; line-grid
css-line- grid-1; No; No; No; No; No; No; line-slack
css-line- grid-1; No; No; No; No; No; No; line-snap
; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto
Logical Properties; Logical Properties; Logical Properties; Logical Properties; Logical Properties; Logical Properties; Logical Properties; Logical Properties
Early ideas for css- logical- props; 
Early ideas for css- logical- props; block-size; No; 41.0[ g 56]; No; No; No; 
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; inline-size
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; min-block-size
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; min-inline-size
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; max-block-size
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; max-inline-size
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; margin-block-start
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; margin-block-end
